time,durable_step,current_step,furthest_step,steps_at_risk,train_loss,tokens_b,nodes_training,nodes_lost,replacements,below_full_world,degraded_band,goodput,ms_per_step,ms_per_step_typical,whole_group_restarts,usd,usd_per_1k,supervisor_up
1786336414329,137,160,160,23,6.9379,0.078643,8,0,0,0,,0.0,1756,1751,0,1.1411,7.132,1
1786336431712,137,170,170,33,6.8358,0.083558,8,0,0,0,,0.0,1738,1744,0,1.18,6.941,1
1786336449060,137,180,180,43,6.7743,0.088474,8,0,0,0,,0.0,1735,1751,0,1.2188,6.7709,1
1786336477586,137,190,190,53,6.6791,0.093389,8,0,0,0,,0.0,2853,1752,0,1.2825,6.7502,1
1786336500285,189,200,200,11,6.6572,0.098304,8,0,0,0,,0.0,2270,1751,0,1.3333,6.6664,1
1786336517935,189,210,210,21,6.5197,0.103219,8,0,0,0,,0.0,1765,1741,0,1.3727,6.5368,1
1786336535275,189,220,220,31,6.4665,0.108134,8,0,0,0,,0.0,1734,1740,0,1.4115,6.4159,1
1786336552609,189,230,230,41,6.4225,0.11305,8,0,0,0,,0.0,1733,1740,0,1.4502,6.3054,1
1786336569913,189,240,240,51,6.3457,0.117965,8,0,0,0,,0.0,1730,1751,0,1.4889,6.2039,1
1786336604374,241,250,250,9,6.3171,0.12288,8,0,0,0,,0.0,3446,1751,0,1.566,6.2639,1
1786336621886,241,260,260,19,6.3258,0.127795,8,0,0,0,,0.0,1751,1740,0,1.6051,6.1735,1
1786336639227,241,270,270,29,6.2252,0.13271,8,0,0,0,,0.0,1734,1740,0,1.6439,6.0885,1
1786336656630,241,280,280,39,6.2144,0.137626,8,0,0,0,,0.0,1740,1751,0,1.6828,6.01,1
1786336674020,241,290,290,49,6.1863,0.142541,8,0,0,0,,0.0,1739,1751,0,1.7217,5.9368,1
1786336707790,293,300,300,7,6.1815,0.147456,8,0,0,0,,0.0,3377,1751,0,1.7972,5.9906,1
1786336757893,293,310,310,17,6.124,0.152371,8,0,0,0,,0.0,5010,1751,0,1.9092,6.1586,1
1786336775264,293,320,320,27,6.0781,0.157286,8,0,0,0,,0.0,1737,1741,0,1.948,6.0875,1
1786336804791,324,330,330,6,6.0659,0.162202,8,0,0,0,,0.0,2953,1751,0,2.014,6.1031,1
1786336826653,324,340,340,16,6.0683,0.167117,8,0,0,0,,0.0,2186,1751,0,2.0629,6.0673,1
1786336843972,324,350,350,26,6.0512,0.172032,8,0,0,0,,0.0,1732,1751,0,2.1016,6.0046,1
1786336861352,324,360,360,36,5.9769,0.176947,8,0,0,0,,0.0,1738,1751,0,2.1405,5.9457,1
1786336878664,324,370,370,46,5.9596,0.181862,8,0,0,0,,0.0,1731,1741,0,2.1792,5.8896,1
1786336907535,324,380,380,56,5.9097,0.186778,8,0,0,0,,0.0,2887,1741,0,2.2437,5.9045,1
1786336929921,376,390,390,14,5.8639,0.191693,8,0,0,0,,0.0,2239,1751,0,2.2938,5.8814,1
1786336947426,376,400,400,24,5.8944,0.196608,8,0,0,0,,0.0,1751,1751,0,2.3329,5.8322,1
1786336964816,376,410,410,34,5.8634,0.201523,8,0,0,0,,0.0,1739,1751,0,2.3718,5.7848,1
1786336982154,376,420,420,44,5.8442,0.206438,8,0,0,0,,0.0,1734,1741,0,2.4105,5.7393,1
1786337010337,376,430,430,54,5.7871,0.211354,8,0,0,0,,0.0,2818,1741,0,2.4735,5.7524,1
1786337033441,428,440,440,12,5.8024,0.216269,8,0,0,0,,0.0,2310,1751,0,2.5252,5.739,1
1786337051407,428,450,450,22,5.7333,0.221184,8,0,0,0,,0.0,1797,1753,0,2.5653,5.7008,1
1786337068786,428,460,460,32,5.7119,0.226099,8,0,0,0,,0.0,1738,1753,0,2.6042,5.6613,1
1786337086196,428,470,470,42,5.7272,0.231014,8,0,0,0,,0.0,1741,1753,0,2.6431,5.6236,1
1786337103905,428,480,480,52,5.6764,0.23593,8,0,0,0,,0.0,1771,1762,0,2.6827,5.589,1
1786337137618,480,490,490,10,5.6407,0.240845,8,0,0,0,,0.0,3371,1753,0,2.7581,5.6287,1
1786337155241,480,500,500,20,5.6327,0.24576,8,0,0,0,,0.0,1762,1752,0,2.7975,5.5949,1
1786337172588,480,510,510,30,5.573,0.250675,8,0,0,0,,0.0,1735,1752,0,2.8362,5.5613,1
1786337189882,480,520,520,40,5.5655,0.25559,8,0,0,0,,0.0,1729,1753,0,2.8749,5.5287,1
1786337207232,480,530,530,50,5.5443,0.260506,8,0,0,0,,0.0,1735,1762,0,2.9137,5.4975,1
1786337240990,532,540,540,8,5.53,0.265421,8,0,0,0,,0.0,3376,1753,0,2.9892,5.5355,1
1786337258520,532,550,550,18,5.4826,0.270336,8,0,0,0,,0.0,1753,1752,0,3.0284,5.5061,1
1786337275914,532,560,560,28,5.4848,0.275251,8,0,0,0,,0.0,1739,1752,0,3.0672,5.4772,1
1786337293291,532,570,570,38,5.4622,0.280166,8,0,0,0,,0.0,1738,1753,0,3.1061,5.4493,1
1786337310640,532,580,580,48,5.4287,0.285082,8,0,0,0,,0.0,1735,1762,0,3.1449,5.4222,1
